# Final state angular momentum:   1
# Broadening parameter (in eV):    0.800
# Absorbing atom type (xiabs):   2
# Energy (eV)   sigma
    1.31131131    0.00840189
    1.36136136    0.00851127
    1.41141141    0.00862303
    1.46146146    0.00873670
    1.51151151    0.00885164
    1.56156156    0.00896705
    1.61161161    0.00908199
    1.66166166    0.00919544
    1.71171171    0.00930637
    1.76176176    0.00941380
    1.81181181    0.00951689
    1.86186186    0.00961495
    1.91191191    0.00970757
    1.96196196    0.00979458
    2.01201201    0.00987610
    2.06206206    0.00995249
    2.11211211    0.01002437
    2.16216216    0.01009256
    2.21221221    0.01015800
    2.26226226    0.01022174
    2.31231231    0.01028484
    2.36236236    0.01034834
    2.41241241    0.01041323
    2.46246246    0.01048035
    2.51251251    0.01055047
    2.56256256    0.01062421
    2.61261261    0.01070204
    2.66266266    0.01078435
    2.71271271    0.01087142
    2.76276276    0.01096345
    2.81281281    0.01106056
    2.86286286    0.01116285
    2.91291291    0.01127036
    2.96296296    0.01138310
    3.01301301    0.01150109
    3.06306306    0.01162430
    3.11311311    0.01175273
    3.16316316    0.01188633
    3.21321321    0.01202507
    3.26326326    0.01216893
    3.31331331    0.01231787
    3.36336336    0.01247189
    3.41341341    0.01263098
    3.46346346    0.01279517
    3.51351351    0.01296452
    3.56356356    0.01313910
    3.61361361    0.01331902
    3.66366366    0.01350443
    3.71371371    0.01369548
    3.76376376    0.01389236
    3.81381381    0.01409526
    3.86386386    0.01430440
    3.91391391    0.01451999
    3.96396396    0.01474225
    4.01401401    0.01497141
    4.06406406    0.01520770
    4.11411411    0.01545135
    4.16416416    0.01570260
    4.21421421    0.01596171
    4.26426426    0.01622894
    4.31431431    0.01650457
    4.36436436    0.01678892
    4.41441441    0.01708231
    4.46446446    0.01738508
    4.51451451    0.01769763
    4.56456456    0.01802037
    4.61461461    0.01835374
    4.66466466    0.01869821
    4.71471471    0.01905429
    4.76476476    0.01942250
    4.81481481    0.01980340
    4.86486486    0.02019758
    4.91491491    0.02060565
    4.96496496    0.02102827
    5.01501502    0.02146609
    5.06506507    0.02191984
    5.11511512    0.02239026
    5.16516517    0.02287815
    5.21521522    0.02338433
    5.26526527    0.02390972
    5.31531532    0.02445525
    5.36536537    0.02502198
    5.41541542    0.02561102
    5.46546547    0.02622360
    5.51551552    0.02686106
    5.56556557    0.02752486
    5.61561562    0.02821660
    5.66566567    0.02893800
    5.71571572    0.02969096
    5.76576577    0.03047749
    5.81581582    0.03129979
    5.86586587    0.03216021
    5.91591592    0.03306126
    5.96596597    0.03400567
    6.01601602    0.03499635
    6.06606607    0.03603642
    6.11611612    0.03712925
    6.16616617    0.03827843
    6.21621622    0.03948786
    6.26626627    0.04076167
    6.31631632    0.04210433
    6.36636637    0.04352056
    6.41641642    0.04501541
    6.46646647    0.04659421
    6.51651652    0.04826255
    6.56656657    0.05002624
    6.61661662    0.05189123
    6.66666667    0.05386355
    6.71671672    0.05594916
    6.76676677    0.05815374
    6.81681682    0.06048252
    6.86686687    0.06293999
    6.91691692    0.06552953
    6.96696697    0.06825311
    7.01701702    0.07111093
    7.06706707    0.07410102
    7.11711712    0.07721910
    7.16716717    0.08045849
    7.21721722    0.08381044
    7.26726727    0.08726469
    7.31731732    0.09081061
    7.36736737    0.09443868
    7.41741742    0.09814231
    7.46746747    0.10191973
    7.51751752    0.10577571
    7.56756757    0.10972267
    7.61761762    0.11378109
    7.66766767    0.11797893
    7.71771772    0.12235018
    7.76776777    0.12693282
    7.81781782    0.13176627
    7.86786787    0.13688883
    7.91791792    0.14233516
    7.96796797    0.14813407
    8.01801802    0.15430651
    8.06806807    0.16086386
    8.11811812    0.16780643
    8.16816817    0.17512228
    8.21821822    0.18278627
    8.26826827    0.19075970
    8.31831832    0.19899066
    8.36836837    0.20741526
    8.41841842    0.21596007
    8.46846847    0.22454558
    8.51851852    0.23309079
    8.56856857    0.24151833
    8.61861862    0.24975980
    8.66866867    0.25776056
    8.71871872    0.26548352
    8.76876877    0.27291128
    8.81881882    0.28004642
    8.86886887    0.28690996
    8.91891892    0.29353807
    8.96896897    0.29997778
    9.01901902    0.30628205
    9.06906907    0.31250488
    9.11911912    0.31869674
    9.16916917    0.32490035
    9.21921922    0.33114696
    9.26926927    0.33745300
    9.31931932    0.34381707
    9.36936937    0.35021753
    9.41941942    0.35661060
    9.46946947    0.36292938
    9.51951952    0.36908409
    9.56956957    0.37496388
    9.61961962    0.38044062
    9.66966967    0.38537502
    9.71971972    0.38962491
