# Final state angular momentum:   1
# Broadening parameter (in eV):    0.800
# Absorbing atom type (xiabs):   2
# Energy (eV)   sigma
    1.31131131    0.00844386
    1.36136136    0.00857274
    1.41141141    0.00870513
    1.46146146    0.00884101
    1.51151151    0.00898034
    1.56156156    0.00912302
    1.61161161    0.00926891
    1.66166166    0.00941786
    1.71171171    0.00956969
    1.76176176    0.00972426
    1.81181181    0.00988142
    1.86186186    0.01004112
    1.91191191    0.01020339
    1.96196196    0.01036836
    2.01201201    0.01053626
    2.06206206    0.01070745
    2.11211211    0.01088232
    2.16216216    0.01106134
    2.21221221    0.01124494
    2.26226226    0.01143353
    2.31231231    0.01162745
    2.36236236    0.01182693
    2.41241241    0.01203208
    2.46246246    0.01224292
    2.51251251    0.01245934
    2.56256256    0.01268118
    2.61261261    0.01290823
    2.66266266    0.01314030
    2.71271271    0.01337725
    2.76276276    0.01361903
    2.81281281    0.01386570
    2.86286286    0.01411747
    2.91291291    0.01437464
    2.96296296    0.01463761
    3.01301301    0.01490684
    3.06306306    0.01518284
    3.11311311    0.01546610
    3.16316316    0.01575713
    3.21321321    0.01605639
    3.26326326    0.01636431
    3.31331331    0.01668127
    3.36336336    0.01700755
    3.41341341    0.01734331
    3.46346346    0.01768856
    3.51351351    0.01804315
    3.56356356    0.01840671
    3.61361361    0.01877870
    3.66366366    0.01915841
    3.71371371    0.01954504
    3.76376376    0.01993774
    3.81381381    0.02033570
    3.86386386    0.02073822
    3.91391391    0.02114474
    3.96396396    0.02155495
    4.01401401    0.02196878
    4.06406406    0.02238645
    4.11411411    0.02280849
    4.16416416    0.02323579
    4.21421421    0.02366958
    4.26426426    0.02411151
    4.31431431    0.02456361
    4.36436436    0.02502827
    4.41441441    0.02550823
    4.46446446    0.02600646
    4.51451451    0.02652612
    4.56456456    0.02707045
    4.61461461    0.02764271
    4.66466466    0.02824610
    4.71471471    0.02888379
    4.76476476    0.02955882
    4.81481481    0.03027419
    4.86486486    0.03103283
    4.91491491    0.03183768
    4.96496496    0.03269169
    5.01501502    0.03359787
    5.06506507    0.03455935
    5.11511512    0.03557937
    5.16516517    0.03666136
    5.21521522    0.03780890
    5.26526527    0.03902578
    5.31531532    0.04031598
    5.36536537    0.04168363
    5.41541542    0.04313303
    5.46546547    0.04466854
    5.51551552    0.04629454
    5.56556557    0.04801531
    5.61561562    0.04983483
    5.66566567    0.05175665
    5.71571572    0.05378358
    5.76576577    0.05591740
    5.81581582    0.05815859
    5.86586587    0.06050595
    5.91591592    0.06295631
    5.96596597    0.06550434
    6.01601602    0.06814256
    6.06606607    0.07086154
    6.11611612    0.07365048
    6.16616617    0.07649823
    6.21621622    0.07939460
    6.26626627    0.08233199
    6.31631632    0.08530715
    6.36636637    0.08832271
    6.41641642    0.09138830
    6.46646647    0.09452097
    6.51651652    0.09774487
    6.56656657    0.10109016
    6.61661662    0.10459138
    6.66666667    0.10828542
    6.71671672    0.11220951
    6.76676677    0.11639922
    6.81681682    0.12088668
    6.86686687    0.12569904
    6.91691692    0.13085705
    6.96696697    0.13637379
    7.01701702    0.14225342
    7.06706707    0.14849003
    7.11711712    0.15506666
    7.16716717    0.16195452
    7.21721722    0.16911283
    7.26726727    0.17648933
    7.31731732    0.18402183
    7.36736737    0.19164091
    7.41741742    0.19927357
    7.46746747    0.20684793
    7.51751752    0.21429815
    7.56756757    0.22156912
    7.61761762    0.22862030
    7.66766767    0.23542804
    7.71771772    0.24198621
    7.76776777    0.24830512
    7.81781782    0.25440915
    7.86786787    0.26033332
    7.91791792    0.26611954
    7.96796797    0.27181264
    8.01801802    0.27745659
    8.06806807    0.28309083
    8.11811812    0.28874697
    8.16816817    0.29444584
    8.21821822    0.30019500
    8.26826827    0.30598710
    8.31831832    0.31179891
    8.36836837    0.31759146
    8.41841842    0.32331084
    8.46846847    0.32888973
    8.51851852    0.33424930
    8.56856857    0.33930128
    8.61861862    0.34395024
    8.66866867    0.34809629
    8.71871872    0.35163843
    8.76876877    0.35447886
    8.81881882    0.35652840
    8.86886887    0.35771253
    8.91891892    0.35797750
    8.96896897    0.35729522
    9.01901902    0.35566589
    9.06906907    0.35311759
    9.11911912    0.34970248
    9.16916917    0.34549026
    9.21921922    0.34055995
    9.26926927    0.33499154
    9.31931932    0.32885923
    9.36936937    0.32222707
    9.41941942    0.31514797
    9.46946947    0.30766562
    9.51951952    0.29981857
    9.56956957    0.29164531
    9.61961962    0.28318887
    9.66966967    0.27449974
    9.71971972    0.26563665
    9.76976977    0.25666489
    9.81981982    0.24765285
    9.86986987    0.23866768
    9.91991992    0.22977101
    9.96996997    0.22101566
   10.02002002    0.21244391
   10.07007007    0.20408736
   10.12012012    0.19596838
   10.17017017    0.18810234
   10.22022022    0.18050032
   10.27027027    0.17317143
   10.32032032    0.16612442
   10.37037037    0.15936841
   10.42042042    0.15291262
   10.47047047    0.14676555
   10.52052052    0.14093367
   10.57057057    0.13542020
   10.62062062    0.13022402
   10.67067067    0.12533889
   10.72072072    0.12075326
   10.77077077    0.11645034
   10.82082082    0.11240874
   10.87087087    0.10860341
   10.92092092    0.10500704
   10.97097097    0.10159166
   11.02102102    0.09833036
   11.07107107    0.09519904
   11.12112112    0.09217784
   11.17117117    0.08925215
   11.22122122    0.08641295
   11.27127127    0.08365663
   11.32132132    0.08098411
   11.37137137    0.07839976
   11.42142142    0.07591006
