# Final state angular momentum:   1
# Broadening parameter (in eV):    0.800
# Absorbing atom type (xiabs):   2
# Energy (eV)   sigma
    1.31131131    0.00771100
    1.36136136    0.00782772
    1.41141141    0.00794540
    1.46146146    0.00806372
    1.51151151    0.00818244
    1.56156156    0.00830140
    1.61161161    0.00842062
    1.66166166    0.00854024
    1.71171171    0.00866060
    1.76176176    0.00878216
    1.81181181    0.00890549
    1.86186186    0.00903123
    1.91191191    0.00916003
    1.96196196    0.00929247
    2.01201201    0.00942909
    2.06206206    0.00957028
    2.11211211    0.00971625
    2.16216216    0.00986704
    2.21221221    0.01002250
    2.26226226    0.01018225
    2.31231231    0.01034569
    2.36236236    0.01051206
    2.41241241    0.01068040
    2.46246246    0.01084964
    2.51251251    0.01101867
    2.56256256    0.01118636
    2.61261261    0.01135166
    2.66266266    0.01151364
    2.71271271    0.01167158
    2.76276276    0.01182496
    2.81281281    0.01197350
    2.86286286    0.01211717
    2.91291291    0.01225620
    2.96296296    0.01239108
    3.01301301    0.01252254
    3.06306306    0.01265154
    3.11311311    0.01277921
    3.16316316    0.01290684
    3.21321321    0.01303577
    3.26326326    0.01316737
    3.31331331    0.01330293
    3.36336336    0.01344367
    3.41341341    0.01359067
    3.46346346    0.01374485
    3.51351351    0.01390700
    3.56356356    0.01407775
    3.61361361    0.01425762
    3.66366366    0.01444701
    3.71371371    0.01464627
    3.76376376    0.01485568
    3.81381381    0.01507548
    3.86386386    0.01530592
    3.91391391    0.01554722
    3.96396396    0.01579960
    4.01401401    0.01606331
    4.06406406    0.01633860
    4.11411411    0.01662571
    4.16416416    0.01692491
    4.21421421    0.01723649
    4.26426426    0.01756075
    4.31431431    0.01789801
    4.36436436    0.01824864
    4.41441441    0.01861306
    4.46446446    0.01899176
    4.51451451    0.01938529
    4.56456456    0.01979431
    4.61461461    0.02021955
    4.66466466    0.02066186
    4.71471471    0.02112217
    4.76476476    0.02160149
    4.81481481    0.02210093
    4.86486486    0.02262167
    4.91491491    0.02316495
    4.96496496    0.02373210
    5.01501502    0.02432453
    5.06506507    0.02494372
    5.11511512    0.02559126
    5.16516517    0.02626882
    5.21521522    0.02697822
    5.26526527    0.02772139
    5.31531532    0.02850044
    5.36536537    0.02931762
    5.41541542    0.03017539
    5.46546547    0.03107644
    5.51551552    0.03202365
    5.56556557    0.03302015
    5.61561562    0.03406932
    5.66566567    0.03517481
    5.71571572    0.03634049
    5.76576577    0.03757050
    5.81581582    0.03886923
    5.86586587    0.04024127
    5.91591592    0.04169140
    5.96596597    0.04322453
    6.01601602    0.04484567
    6.06606607    0.04655975
    6.11611612    0.04837156
    6.16616617    0.05028558
    6.21621622    0.05230571
    6.26626627    0.05443508
    6.31631632    0.05667575
    6.36636637    0.05902837
    6.41641642    0.06149190
    6.46646647    0.06406331
    6.51651652    0.06673744
    6.56656657    0.06950700
    6.61661662    0.07236282
    6.66666667    0.07529449
    6.71671672    0.07829136
    6.76676677    0.08134395
    6.81681682    0.08444558
    6.86686687    0.08759414
    6.91691692    0.09079364
    6.96696697    0.09405521
    7.01701702    0.09739750
