Energy,Intensity
525.626168224299,1025.0
525.6635514018692,1043.75
525.7009345794393,1062.5
525.7383177570093,1087.5
525.7757009345794,1137.5
525.9252336448598,1125.0
525.9626168224299,1118.75
526.0,1118.75
526.0373831775701,1118.75
526.0747663551402,1112.5
526.1121495327103,1087.5
526.1495327102804,1087.5
526.1869158878504,1087.5
526.2242990654206,1087.5
526.2616822429907,1100.0
526.2990654205607,1118.75
526.3364485981308,1112.5
526.373831775701,1112.5
526.411214953271,1112.5
526.5233644859813,1031.25
526.5607476635514,1031.25
526.5981308411215,1025.0
526.6355140186915,1025.0
526.6728971962617,1025.0
526.7102803738318,1018.75
526.8224299065421,1043.75
526.8598130841121,1056.25
526.8971962616822,1062.5
526.9345794392524,1062.5
526.9719626168225,1068.75
527.0093457943925,1081.25
527.0841121495328,1056.25
527.1214953271028,1043.75
527.1588785046729,1043.75
527.196261682243,1043.75
527.2336448598131,1037.5
527.3831775700935,968.75
527.4205607476636,962.5
527.4579439252336,975.0
527.4953271028037,981.25
527.7943925233645,931.25
527.8317757009346,931.25
528.018691588785,887.5
528.0560747663551,881.25
528.0934579439253,875.0
528.1308411214953,875.0
528.1682242990654,875.0
528.2056074766355,868.75
528.3551401869158,1081.25
528.392523364486,1087.5
528.4299065420561,1168.75
528.4672897196261,1175.0
528.5046728971963,1206.25
528.5420560747664,1212.5
528.5794392523364,1287.5
528.6168224299065,1287.5
528.6542056074767,1293.75
528.6915887850467,1300.0
528.803738317757,1318.75
528.8411214953271,1318.75
528.8785046728972,1318.75
528.9158878504672,1318.75
528.9532710280374,1318.75
529.0654205607476,1318.75
529.1028037383178,1331.25
529.1401869158879,1331.25
529.1775700934579,1325.0
529.2149532710281,1325.0
529.2523364485982,1431.25
529.2897196261682,1431.25
529.3271028037383,1450.0
529.3644859813085,1481.25
529.4018691588785,1537.5
529.4392523364486,1537.5
529.4766355140187,1593.75
529.5140186915888,1643.75
529.5514018691589,1643.75
529.588785046729,1643.75
529.626168224299,1675.0
529.6635514018692,1750.0
529.7009345794393,1750.0
