Energy,Intensity
525.2149532710281,762.5
525.2523364485982,756.25
525.2897196261682,756.25
525.3271028037383,756.25
525.4018691588785,906.25
525.4392523364486,875.0
525.4766355140187,881.25
525.5140186915888,887.5
525.5514018691589,900.0
525.588785046729,900.0
525.626168224299,893.75
525.6635514018692,843.75
525.7009345794393,837.5
525.7383177570093,825.0
525.7757009345794,812.5
525.8130841121496,806.25
525.8504672897196,806.25
525.8878504672897,800.0
525.9252336448598,768.75
525.9626168224299,768.75
526.0,768.75
526.0373831775701,775.0
526.0747663551402,781.25
526.1121495327103,800.0
526.1495327102804,812.5
526.1869158878504,818.75
526.2242990654206,825.0
526.2616822429907,831.25
526.2990654205607,812.5
526.3364485981308,856.25
526.373831775701,850.0
526.411214953271,843.75
526.4485981308411,837.5
526.4859813084112,818.75
526.5233644859813,800.0
526.5607476635514,793.75
526.5981308411215,787.5
526.6355140186915,781.25
526.6728971962617,768.75
526.7102803738318,756.25
526.7476635514018,743.75
526.7850467289719,743.75
526.8224299065421,731.25
526.8598130841121,737.5
526.8971962616822,756.25
526.9345794392524,762.5
526.9719626168225,768.75
527.0093457943925,781.25
527.0467289719626,787.5
527.0841121495328,725.0
527.1214953271028,725.0
527.1588785046729,718.75
527.196261682243,700.0
527.2336448598131,693.75
527.2710280373832,712.5
527.3084112149533,718.75
527.3457943925233,731.25
527.3831775700935,750.0
527.4205607476636,806.25
527.4579439252336,837.5
527.4953271028037,850.0
527.5327102803739,856.25
527.5700934579439,862.5
527.607476635514,906.25
527.6448598130842,931.25
527.6822429906542,950.0
527.7196261682243,956.25
527.7570093457944,962.5
527.7943925233645,1006.25
527.8317757009346,1000.0
527.8691588785047,993.75
527.9065420560747,987.5
527.9439252336449,975.0
527.981308411215,968.75
528.018691588785,975.0
528.0560747663551,975.0
528.0934579439253,975.0
528.1308411214953,775.0
528.1682242990654,775.0
528.2056074766355,962.5
528.2429906542056,956.25
528.2803738317757,943.75
528.3177570093458,937.5
528.3551401869158,950.0
528.392523364486,956.25
528.4299065420561,962.5
528.4672897196261,968.75
528.5046728971963,981.25
528.5420560747664,968.75
528.5794392523364,962.5
528.6168224299065,950.0
528.6542056074767,943.75
528.6915887850467,937.5
528.7289719626168,906.25
528.7663551401869,906.25
528.803738317757,912.5
528.8411214953271,918.75
528.8785046728972,918.75
528.9158878504672,943.75
528.9532710280374,962.5
528.9906542056075,975.0
529.0280373831775,987.5
529.0654205607476,1187.5
529.1028037383178,1250.0
529.1401869158879,1268.75
529.1775700934579,1268.75
529.2149532710281,1281.25
529.2523364485982,1600.0
529.2897196261682,1656.25
529.3271028037383,1675.0
529.3644859813085,1681.25
529.4018691588785,1693.75
529.4392523364486,1718.75
529.4766355140187,1775.0
529.5140186915888,1787.5
529.5514018691589,1793.75
529.588785046729,1793.75
529.626168224299,1868.75
529.6635514018692,1925.0
529.7009345794393,1950.0
529.7383177570093,1956.25
529.7757009345794,1962.5
529.8130841121496,2162.5
529.8504672897196,2231.25
529.8878504672897,2243.75
529.9252336448598,2250.0
529.9626168224299,2256.25
530.0,2218.75
530.0373831775701,2481.25
530.0747663551402,2506.25
530.1121495327103,2506.25
530.1495327102804,2518.75
530.1869158878504,2818.75
530.2242990654206,2875.0
530.2616822429907,2893.75
530.2990654205607,2893.75
530.3364485981308,2906.25
530.373831775701,3225.0
530.411214953271,3293.75
530.4485981308411,3306.25
530.4859813084112,3306.25
530.5233644859813,3312.5
530.5607476635514,3643.75
530.5981308411215,3700.0
530.6355140186915,3718.75
530.6728971962617,3718.75
530.7102803738318,3725.0
530.7476635514018,3793.75
530.7850467289719,3843.75
530.8224299065421,3856.25
530.8598130841121,3862.5
530.8971962616822,3981.25
530.9345794392524,4118.75
530.9719626168225,4168.75
531.0093457943925,4187.5
531.0467289719626,4187.5
531.0841121495328,4193.75
531.1214953271028,4375.0
531.1588785046729,4400.0
531.196261682243,4406.25
531.2336448598131,4406.25
531.2710280373832,4412.5
531.3831775700935,4418.75
531.4205607476636,4437.5
531.4579439252336,4456.25
531.4953271028037,4475.0
531.5327102803739,4525.0
531.5700934579439,4525.0
531.607476635514,4525.0
531.6448598130842,4518.75
531.7570093457944,4612.5
531.7943925233645,4612.5
531.8317757009346,4612.5
531.9065420560747,4550.0
531.9439252336449,4525.0
531.981308411215,4543.75
532.018691588785,4537.5
532.0560747663551,4531.25
532.1308411214953,4500.0
532.1682242990654,4506.25
532.3551401869158,4512.5
532.392523364486,4543.75
532.4299065420561,4543.75
