# Final state angular momentum:   1
# Broadening parameter (in eV):    0.800
# Absorbing atom type (xiabs):   2
# Energy (eV)   sigma
    1.31131131    0.00707938
    1.36136136    0.00718818
    1.41141141    0.00730030
    1.46146146    0.00741590
    1.51151151    0.00753516
    1.56156156    0.00765828
    1.61161161    0.00778544
    1.66166166    0.00791685
    1.71171171    0.00805272
    1.76176176    0.00819324
    1.81181181    0.00833863
    1.86186186    0.00848907
    1.91191191    0.00864473
    1.96196196    0.00880576
    2.01201201    0.00897224
    2.06206206    0.00914422
    2.11211211    0.00932166
    2.16216216    0.00950443
    2.21221221    0.00969227
    2.26226226    0.00988482
    2.31231231    0.01008159
    2.36236236    0.01028196
    2.41241241    0.01048521
    2.46246246    0.01069057
    2.51251251    0.01089726
    2.56256256    0.01110459
    2.61261261    0.01131203
    2.66266266    0.01151931
    2.71271271    0.01172643
    2.76276276    0.01193377
    2.81281281    0.01214205
    2.86286286    0.01235228
    2.91291291    0.01256572
    2.96296296    0.01278381
    3.01301301    0.01300802
    3.06306306    0.01323981
    3.11311311    0.01348051
    3.16316316    0.01373132
    3.21321321    0.01399318
    3.26326326    0.01426679
    3.31331331    0.01455257
    3.36336336    0.01485065
    3.41341341    0.01516084
    3.46346346    0.01548269
    3.51351351    0.01581542
    3.56356356    0.01615805
    3.61361361    0.01650941
    3.66366366    0.01686819
    3.71371371    0.01723310
    3.76376376    0.01760289
    3.81381381    0.01797645
    3.86386386    0.01835290
    3.91391391    0.01873156
    3.96396396    0.01911197
    4.01401401    0.01949391
    4.06406406    0.01987738
    4.11411411    0.02026260
    4.16416416    0.02065011
    4.21421421    0.02104074
    4.26426426    0.02143577
    4.31431431    0.02183691
    4.36436436    0.02224636
    4.41441441    0.02266672
    4.46446446    0.02310096
    4.51451451    0.02355233
    4.56456456    0.02402419
    4.61461461    0.02451997
    4.66466466    0.02504303
    4.71471471    0.02559662
    4.76476476    0.02618389
    4.81481481    0.02680781
    4.86486486    0.02747126
    4.91491491    0.02817703
    4.96496496    0.02892785
    5.01501502    0.02972649
    5.06506507    0.03057574
    5.11511512    0.03147854
    5.16516517    0.03243794
    5.21521522    0.03345719
    5.26526527    0.03453971
    5.31531532    0.03568916
    5.36536537    0.03690934
    5.41541542    0.03820418
    5.46546547    0.03957769
    5.51551552    0.04103377
    5.56556557    0.04257616
    5.61561562    0.04420820
    5.66566567    0.04593265
    5.71571572    0.04775144
    5.76576577    0.04966544
    5.81581582    0.05167414
    5.86586587    0.05377539
    5.91591592    0.05596526
    5.96596597    0.05823783
    6.01601602    0.06058531
    6.06606607    0.06299835
    6.11611612    0.06546660
    6.16616617    0.06797977
    6.21621622    0.07052886
    6.26626627    0.07310771
    6.31631632    0.07571453
    6.36636637    0.07835327
    6.41641642    0.08103439
    6.46646647    0.08377512
    6.51651652    0.08659887
    6.56656657    0.08953409
    6.61661662    0.09261265
    6.66666667    0.09586799
    6.71671672    0.09933327
    6.76676677    0.10303974
    6.81681682    0.10701525
    6.86686687    0.11128296
    6.91691692    0.11586026
    6.96696697    0.12075765
    7.01701702    0.12597775
    7.06706707    0.13151425
    7.11711712    0.13735098
    7.16716717    0.14346120
    7.21721722    0.14980725
    7.26726727    0.15634090
    7.31731732    0.16300458
    7.36736737    0.16973362
    7.41741742    0.17645966
    7.46746747    0.18311506
    7.51751752    0.18963789
    7.56756757    0.19597681
    7.61761762    0.20209539
    7.66766767    0.20797473
    7.71771772    0.21361421
    7.76776777    0.21903005
    7.81781782    0.22425201
    7.86786787    0.22931877
    7.91791792    0.23427299
    7.96796797    0.23915667
    8.01801802    0.24400750
    8.06806807    0.24885614
    8.11811812    0.25372453
    8.16816817    0.25862475
    8.21821822    0.26355821
    8.26826827    0.26851503
    8.31831832    0.27347353
    8.36836837    0.27840002
    8.41841842    0.28324896
    8.46846847    0.28796339
    8.51851852    0.29247585
    8.56856857    0.29670963
    8.61861862    0.30058062
    8.66866867    0.30399998
    8.71871872    0.30687794
    8.76876877    0.30912868
    8.81881882    0.31067611
    8.86886887    0.31145980
    8.91891892    0.31143991
    8.96896897    0.31060027
    9.01901902    0.30894876
    9.06906907    0.30651492
    9.11911912    0.30334529
    9.16916917    0.29949750
    9.21921922    0.29503417
    9.26926927    0.29001775
    9.31931932    0.28450687
    9.36936937    0.27855451
    9.41941942    0.27220789
    9.46946947    0.26550982
    9.51951952    0.25850088
    9.56956957    0.25122201
    9.61961962    0.24371688
    9.66966967    0.23603339
    9.71971972    0.22822415
    9.76976977    0.22034547
    9.81981982    0.21245520
    9.86986987    0.20460978
    9.91991992    0.19686102
    9.96996997    0.18925346
   10.02002002    0.18182267
   10.07007007    0.17459491
   10.12012012    0.16758801
   10.17017017    0.16081328
   10.22022022    0.15427782
   10.27027027    0.14798672
   10.32032032    0.14194476
   10.37037037    0.13615726
   10.42042042    0.13063006
   10.47047047    0.12536882
   10.52052052    0.12037802
   10.57057057    0.11565969
   10.62062062    0.11121245
   10.67067067    0.10703076
   10.72072072    0.10310460
   10.77077077    0.09941956
   10.82082082    0.09595726
   10.87087087    0.09269627
   10.92092092    0.08961316
   10.97097097    0.08668389
   11.02102102    0.08388532
   11.07107107    0.08119664
   11.12112112    0.07860059
   11.17117117    0.07608436
   11.22122122    0.07363991
   11.27127127    0.07126385
   11.32132132    0.06895677
   11.37137137    0.06672229
   11.42142142    0.06456598
   11.47147147    0.06249425
   11.52152152    0.06051347
   11.57157157    0.05862930
   11.62162162    0.05684627
   11.67167167    0.05516764
   11.72172172    0.05359535
   11.77177177    0.05213021
   11.82182182    0.05077205
   11.87187187    0.04951996
   11.92192192    0.04837251
   11.97197197    0.04732797
   12.02202202    0.04638449
   12.07207207    0.04554022
   12.12212212    0.04479346
   12.17217217    0.04414270
   12.22222222    0.04358677
   12.27227227    0.04312476
   12.32232232    0.04275616
   12.37237237    0.04248074
   12.42242242    0.04229860
   12.47247247    0.04221011
   12.52252252    0.04221578
   12.57257257    0.04231618
   12.62262262    0.04251178
   12.67267267    0.04280274
   12.72272272    0.04318862
   12.77277277    0.04366808
   12.82282282    0.04423847
