# Final state angular momentum:   1
# Broadening parameter (in eV):    0.800
# Absorbing atom type (xiabs):   3
# Energy (eV)   sigma
    1.31131131    0.00662066
    1.36136136    0.00690282
    1.41141141    0.00720358
    1.46146146    0.00752428
    1.51151151    0.00786627
    1.56156156    0.00823093
    1.61161161    0.00861961
    1.66166166    0.00903361
    1.71171171    0.00947411
    1.76176176    0.00994213
    1.81181181    0.01043847
    1.86186186    0.01096360
    1.91191191    0.01151762
    1.96196196    0.01210020
    2.01201201    0.01271057
    2.06206206    0.01334752
    2.11211211    0.01400947
    2.16216216    0.01469465
    2.21221221    0.01540124
    2.26226226    0.01612763
    2.31231231    0.01687264
    2.36236236    0.01763571
    2.41241241    0.01841693
    2.46246246    0.01921690
    2.51251251    0.02003649
    2.56256256    0.02087623
    2.61261261    0.02173572
    2.66266266    0.02261284
    2.71271271    0.02350302
    2.76276276    0.02439861
    2.81281281    0.02528845
    2.86286286    0.02615785
    2.91291291    0.02698893
    2.96296296    0.02776145
    3.01301301    0.02845418
    3.06306306    0.02904662
    3.11311311    0.02952084
    3.16316316    0.02986334
    3.21321321    0.03006640
    3.26326326    0.03012876
    3.31331331    0.03005554
    3.36336336    0.02985725
    3.41341341    0.02954826
    3.46346346    0.02914497
    3.51351351    0.02866393
    3.56356356    0.02812031
    3.61361361    0.02752690
    3.66366366    0.02689359
    3.71371371    0.02622743
    3.76376376    0.02553318
    3.81381381    0.02481403
    3.86386386    0.02407254
    3.91391391    0.02331142
    3.96396396    0.02253418
    4.01401401    0.02174539
    4.06406406    0.02095075
    4.11411411    0.02015681
    4.16416416    0.01937057
    4.21421421    0.01859900
    4.26426426    0.01784861
    4.31431431    0.01712507
    4.36436436    0.01643304
    4.41441441    0.01577602
    4.46446446    0.01515639
    4.51451451    0.01457554
    4.56456456    0.01403393
    4.61461461    0.01353134
    4.66466466    0.01306697
    4.71471471    0.01263965
    4.76476476    0.01224796
    4.81481481    0.01189032
    4.86486486    0.01156510
    4.91491491    0.01127069
    4.96496496    0.01100556
    5.01501502    0.01076824
    5.06506507    0.01055739
    5.11511512    0.01037182
    5.16516517    0.01021045
    5.21521522    0.01007235
    5.26526527    0.00995670
    5.31531532    0.00986283
    5.36536537    0.00979018
    5.41541542    0.00973830
    5.46546547    0.00970687
    5.51551552    0.00969565
    5.56556557    0.00970454
    5.61561562    0.00973349
    5.66566567    0.00978260
    5.71571572    0.00985201
    5.76576577    0.00994195
    5.81581582    0.01005269
    5.86586587    0.01018453
    5.91591592    0.01033779
    5.96596597    0.01051275
    6.01601602    0.01070964
    6.06606607    0.01092860
    6.11611612    0.01116969
    6.16616617    0.01143282
    6.21621622    0.01171780
    6.26626627    0.01202436
    6.31631632    0.01235216
    6.36636637    0.01270090
    6.41641642    0.01307044
    6.46646647    0.01346084
    6.51651652    0.01387254
    6.56656657    0.01430634
    6.61661662    0.01476349
    6.66666667    0.01524552
    6.71671672    0.01575414
    6.76676677    0.01629098
    6.81681682    0.01685726
    6.86686687    0.01745350
    6.91691692    0.01807915
    6.96696697    0.01873233
    7.01701702    0.01940952
    7.06706707    0.02010546
    7.11711712    0.02081313
    7.16716717    0.02152392
    7.21721722    0.02222802
    7.26726727    0.02291505
    7.31731732    0.02357479
    7.36736737    0.02419819
    7.41741742    0.02477816
    7.46746747    0.02531042
    7.51751752    0.02579385
    7.56756757    0.02623059
    7.61761762    0.02662570
    7.66766767    0.02698653
    7.71771772    0.02732179
    7.76776777    0.02764071
    7.81781782    0.02795217
    7.86786787    0.02826406
    7.91791792    0.02858290
    7.96796797    0.02891363
    8.01801802    0.02925978
    8.06806807    0.02962363
    8.11811812    0.03000663
    8.16816817    0.03040973
    8.21821822    0.03083368
    8.26826827    0.03127918
    8.31831832    0.03174683
    8.36836837    0.03223690
    8.41841842    0.03274902
    8.46846847    0.03328177
    8.51851852    0.03383223
    8.56856857    0.03439570
    8.61861862    0.03496541
    8.66866867    0.03553252
    8.71871872    0.03608617
    8.76876877    0.03661384
    8.81881882    0.03710191
    8.86886887    0.03753633
    8.91891892    0.03790350
    8.96896897    0.03819116
    9.01901902    0.03838927
    9.06906907    0.03849074
    9.11911912    0.03849200
    9.16916917    0.03839329
    9.21921922    0.03819864
    9.26926927    0.03791561
    9.31931932    0.03755454
    9.36936937    0.03712775
    9.41941942    0.03664836
    9.46946947    0.03612927
    9.51951952    0.03558216
    9.56956957    0.03501679
    9.61961962    0.03444069
    9.66966967    0.03385915
    9.71971972    0.03327548
    9.76976977    0.03269154
    9.81981982    0.03210827
    9.86986987    0.03152616
    9.91991992    0.03094570
    9.96996997    0.03036763
   10.02002002    0.02979320
   10.07007007    0.02922424
   10.12012012    0.02866337
   10.17017017    0.02811396
   10.22022022    0.02758013
   10.27027027    0.02706667
   10.32032032    0.02657866
   10.37037037    0.02612120
   10.42042042    0.02569885
   10.47047047    0.02531521
   10.52052052    0.02497242
   10.57057057    0.02467080
   10.62062062    0.02440858
   10.67067067    0.02418173
   10.72072072    0.02398404
   10.77077077    0.02380727
   10.82082082    0.02364156
   10.87087087    0.02347598
   10.92092092    0.02329930
   10.97097097    0.02310082
   11.02102102    0.02287125
   11.07107107    0.02260349
   11.12112112    0.02229327
   11.17117117    0.02193947
   11.22122122    0.02154413
   11.27127127    0.02111220
   11.32132132    0.02065090
   11.37137137    0.02016907
   11.42142142    0.01967635
   11.47147147    0.01918247
   11.52152152    0.01869667
   11.57157157    0.01822725
   11.62162162    0.01778134
   11.67167167    0.01736481
   11.72172172    0.01698230
   11.77177177    0.01663734
   11.82182182    0.01633251
   11.87187187    0.01606964
   11.92192192    0.01584996
   11.97197197    0.01567430
   12.02202202    0.01554322
   12.07207207    0.01545714
   12.12212212    0.01541640
   12.17217217    0.01542140
   12.22222222    0.01547259
   12.27227227    0.01557055
   12.32232232    0.01571596
   12.37237237    0.01590965
   12.42242242    0.01615252
   12.47247247    0.01644554
   12.52252252    0.01678967
   12.57257257    0.01718576
   12.62262262    0.01763441
   12.67267267    0.01813583
   12.72272272    0.01868961
   12.77277277    0.01929444
   12.82282282    0.01994789
   12.87287287    0.02064601
   12.92292292    0.02138304
   12.97297297    0.02215106
   13.02302302    0.02293979
   13.07307307    0.02373645
   13.12312312    0.02452587
   13.17317317    0.02529086
   13.22322322    0.02601285
   13.27327327    0.02667290
   13.32332332    0.02725292
   13.37337337    0.02773699
   13.42342342    0.02811266
   13.47347347    0.02837201
   13.52352352    0.02851224
   13.57357357    0.02853587
   13.62362362    0.02845035
   13.67367367    0.02826730
   13.72372372    0.02800148
   13.77377377    0.02766967
   13.82382382    0.02728951
   13.87387387    0.02687850
   13.92392392    0.02645316
   13.97397397    0.02602829
   14.02402402    0.02561649
   14.07407407    0.02522773
   14.12412412    0.02486925
   14.17417417    0.02454540
   14.22422422    0.02425784
   14.27427427    0.02400573
   14.32432432    0.02378621
   14.37437437    0.02359487
   14.42442442    0.02342651
   14.47447447    0.02327576
   14.52452452    0.02313790
   14.57457457    0.02300940
   14.62462462    0.02288840
   14.67467467    0.02277492
   14.72472472    0.02267073
   14.77477477    0.02257912
   14.82482482    0.02250441
   14.87487487    0.02245147
   14.92492492    0.02242516
   14.97497497    0.02243000
   15.02502503    0.02246979
   15.07507508    0.02254749
   15.12512513    0.02266513
   15.17517518    0.02282387
   15.22522523    0.02302410
   15.27527528    0.02326562
   15.32532533    0.02354776
   15.37537538    0.02386957
   15.42542543    0.02422990
   15.47547548    0.02462730
   15.52552553    0.02505999
   15.57557558    0.02552560
   15.62562563    0.02602094
   15.67567568    0.02654177
   15.72572573    0.02708266
   15.77577578    0.02763691
   15.82582583    0.02819665
   15.87587588    0.02875298
   15.92592593    0.02929622
   15.97597598    0.02981613
   16.02602603    0.03030211
   16.07607608    0.03074342
   16.12612613    0.03112924
   16.17617618    0.03144892
   16.22622623    0.03169215
   16.27627628    0.03184934
   16.32632633    0.03191203
   16.37637638    0.03187343
   16.42642643    0.03172889
   16.47647648    0.03147635
   16.52652653    0.03111661
   16.57657658    0.03065351
   16.62662663    0.03009380
   16.67667668    0.02944693
   16.72672673    0.02872464
   16.77677678    0.02794035
   16.82682683    0.02710855
   16.87687688    0.02624410
   16.92692693    0.02536161
   16.97697698    0.02447484
   17.02702703    0.02359629
   17.07707708    0.02273688
   17.12712713    0.02190574
   17.17717718    0.02111013
   17.22722723    0.02035551
   17.27727728    0.01964556
   17.32732733    0.01898237
   17.37737738    0.01836659
   17.42742743    0.01779762
   17.47747748    0.01727377
   17.52752753    0.01679248
   17.57757758    0.01635047
   17.62762763    0.01594394
   17.67767768    0.01556878
   17.72772773    0.01522074
   17.77777778    0.01489567
   17.82782783    0.01458973
   17.87787788    0.01429957
   17.92792793    0.01402253
   17.97797798    0.01375669
   18.02802803    0.01350094
   18.07807808    0.01325496
   18.12812813    0.01301907
   18.17817818    0.01279415
   18.22822823    0.01258148
   18.27827828    0.01238256
   18.32832833    0.01219899
   18.37837838    0.01203235
   18.42842843    0.01188414
   18.47847848    0.01175571
   18.52852853    0.01164821
   18.57857858    0.01156258
   18.62862863    0.01149955
   18.67867868    0.01145964
   18.72872873    0.01144312
   18.77877878    0.01145007
   18.82882883    0.01148031
   18.87887888    0.01153342
   18.92892893    0.01160871
   18.97897898    0.01170519
   19.02902903    0.01182158
   19.07907908    0.01195626
   19.12912913    0.01210731
   19.17917918    0.01227249
   19.22922923    0.01244935
   19.27927928    0.01263526
   19.32932933    0.01282757
   19.37937938    0.01302373
   19.42942943    0.01322147
   19.47947948    0.01341891
   19.52952953    0.01361476
   19.57957958    0.01380833
   19.62962963    0.01399964
   19.67967968    0.01418941
   19.72972973    0.01437894
   19.77977978    0.01457007
   19.82982983    0.01476506
   19.87987988    0.01496648
   19.92992993    0.01517711
   19.97997998    0.01539985
   20.03003003    0.01563766
   20.08008008    0.01589343
   20.13013013    0.01616992
   20.18018018    0.01646963
   20.23023023    0.01679464
   20.28028028    0.01714651
   20.33033033    0.01752610
   20.38038038    0.01793350
   20.43043043    0.01836789
   20.48048048    0.01882756
   20.53053053    0.01930986
   20.58058058    0.01981128
   20.63063063    0.02032754
   20.68068068    0.02085376
   20.73073073    0.02138462
   20.78078078    0.02191456
   20.83083083    0.02243793
   20.88088088    0.02294920
   20.93093093    0.02344305
   20.98098098    0.02391448
   21.03103103    0.02435890
   21.08108108    0.02477220
   21.13113113    0.02515087
   21.18118118    0.02549217
   21.23123123    0.02579433
   21.28128128    0.02605681
   21.33133133    0.02628050
   21.38138138    0.02646784
   21.43143143    0.02662283
   21.48148148    0.02675079
   21.53153153    0.02685803
   21.58158158    0.02695134
   21.63163163    0.02703746
   21.68168168    0.02712261
   21.73173173    0.02721205
   21.78178178    0.02730983
   21.83183183    0.02741861
   21.88188188    0.02753961
   21.93193193    0.02767264
   21.98198198    0.02781610
   22.03203203    0.02796707
   22.08208208    0.02812142
   22.13213213    0.02827399
   22.18218218    0.02841893
   22.23223223    0.02855013
   22.28228228    0.02866176
   22.33233233    0.02874885
   22.38238238    0.02880779
   22.43243243    0.02883667
   22.48248248    0.02883539
   22.53253253    0.02880560
   22.58258258    0.02875034
   22.63263263    0.02867368
   22.68268268    0.02858021
   22.73273273    0.02847464
   22.78278278    0.02836140
   22.83283283    0.02824429
   22.88288288    0.02812619
   22.93293293    0.02800885
   22.98298298    0.02789266
   23.03303303    0.02777664
   23.08308308    0.02765840
   23.13313313    0.02753436
   23.18318318    0.02740003
   23.23323323    0.02725055
   23.28328328    0.02708115
   23.33333333    0.02688783
   23.38338338    0.02666785
   23.43343343    0.02642019
   23.48348348    0.02614579
   23.53353353    0.02584756
   23.58358358    0.02553023
   23.63363363    0.02519993
   23.68368368    0.02486372
   23.73373373    0.02452893
   23.78378378    0.02420257
   23.83383383    0.02389079
   23.88388388    0.02359835
   23.93393393    0.02332836
   23.98398398    0.02308200
   24.03403403    0.02285859
   24.08408408    0.02265567
   24.13413413    0.02246930
   24.18418418    0.02229455
   24.23423423    0.02212595
   24.28428428    0.02195817
   24.33433433    0.02178652
   24.38438438    0.02160750
   24.43443443    0.02141905
   24.48448448    0.02122071
   24.53453453    0.02101349
   24.58458458    0.02079961
   24.63463463    0.02058210
   24.68468468    0.02036431
   24.73473473    0.02014950
   24.78478478    0.01994049
   24.83483483    0.01973939
   24.88488488    0.01954749
   24.93493493    0.01936529
   24.98498498    0.01919264
   25.03503504    0.01902894
   25.08508509    0.01887340
   25.13513514    0.01872527
   25.18518519    0.01858404
   25.23523524    0.01844943
   25.28528529    0.01832141
   25.33533534    0.01819997
   25.38538539    0.01808496
   25.43543544    0.01797581
   25.48548549    0.01787137
   25.53553554    0.01776979
   25.58558559    0.01766861
   25.63563564    0.01756481
   25.68568569    0.01745516
   25.73573574    0.01733645
   25.78578579    0.01720584
   25.83583584    0.01706108
   25.88588589    0.01690065
   25.93593594    0.01672386
   25.98598599    0.01653081
   26.03603604    0.01632225
   26.08608609    0.01609954
   26.13613614    0.01586455
   26.18618619    0.01561953
   26.23623624    0.01536716
   26.28628629    0.01511041
   26.33633634    0.01485253
   26.38638639    0.01459699
   26.43643644    0.01434734
   26.48648649    0.01410716
   26.53653654    0.01387990
   26.58658659    0.01366881
   26.63663664    0.01347683
   26.68668669    0.01330651
   26.73673674    0.01315991
   26.78678679    0.01303860
   26.83683684    0.01294356
   26.88688689    0.01287516
   26.93693694    0.01283319
   26.98698699    0.01281682
   27.03703704    0.01282462
   27.08708709    0.01285464
   27.13713714    0.01290442
   27.18718719    0.01297111
   27.23723724    0.01305156
   27.28728729    0.01314233
   27.33733734    0.01323986
   27.38738739    0.01334044
   27.43743744    0.01344028
   27.48748749    0.01353552
   27.53753754    0.01362237
   27.58758759    0.01369717
   27.63763764    0.01375660
   27.68768769    0.01379797
   27.73773774    0.01381946
   27.78778779    0.01382039
   27.83783784    0.01380134
   27.88788789    0.01376422
   27.93793794    0.01371215
   27.98798799    0.01364917
   28.03803804    0.01357994
   28.08808809    0.01350931
   28.13813814    0.01344197
   28.18818819    0.01338207
   28.23823824    0.01333303
   28.28828829    0.01329733
   28.33833834    0.01327647
   28.38838839    0.01327099
   28.43843844    0.01328056
   28.48848849    0.01330416
   28.53853854    0.01334030
   28.58858859    0.01338722
   28.63863864    0.01344316
   28.68868869    0.01350655
   28.73873874    0.01357610
   28.78878879    0.01365095
   28.83883884    0.01373060
   28.88888889    0.01381486
   28.93893894    0.01390376
   28.98898899    0.01399738
   29.03903904    0.01409577
   29.08908909    0.01419881
   29.13913914    0.01430608
   29.18918919    0.01441680
   29.23923924    0.01452978
   29.28928929    0.01464337
   29.33933934    0.01475553
