Energy,Intensity
450.0436137071651,281.25
450.0685358255452,300.0
450.0934579439252,250.0
450.1183800623053,312.5
450.1433021806854,268.75
450.16822429906546,343.75
450.19314641744546,256.25
450.31775700934577,793.75
450.3426791277259,793.75
450.36760124610595,781.25
450.6168224299065,850.0
450.6417445482866,600.0
450.6666666666667,768.75
450.6915887850467,812.5
450.7165109034268,781.25
450.74143302180687,750.0
450.76635514018693,743.75
450.79127725856694,325.0
450.81619937694705,325.0
450.8411214953271,675.0
450.8660436137072,693.75
450.8909657320872,693.75
450.9158878504673,706.25
450.94080996884736,718.75
450.9657320872274,718.75
450.9906542056074,725.0
451.01557632398755,706.25
451.0404984423676,593.75
451.0903426791277,587.5
451.1152647975078,743.75
451.14018691588785,731.25
451.1651090342679,737.5
451.1900311526479,737.5
451.21495327102804,731.25
451.2398753894081,737.5
451.26479750778816,737.5
451.2897196261683,737.5
451.3146417445483,743.75
451.33956386292834,743.75
451.3644859813084,737.5
451.3894080996885,737.5
451.4143302180685,700.0
451.4392523364486,693.75
451.46417445482865,737.5
451.48909657320877,743.75
451.5140186915888,737.5
451.53894080996884,737.5
451.5638629283489,737.5
451.588785046729,737.5
451.613707165109,731.25
451.6386292834891,737.5
451.66355140186914,737.5
451.68847352024926,731.25
451.71339563862927,718.75
451.7383177570093,700.0
451.76323987538944,700.0
451.7881619937695,700.0
451.8130841121495,700.0
451.8380062305296,700.0
451.8629283489097,700.0
451.88785046728975,700.0
451.91277258566976,712.5
451.9376947040498,731.25
451.96261682242994,737.5
451.98753894081,737.5
452.01246105919,731.25
452.03738317757006,737.5
452.0623052959502,737.5
452.08722741433024,731.25
452.11214953271025,718.75
452.1370716510903,706.25
452.1619937694704,712.5
452.1869158878505,706.25
452.2118380062305,706.25
452.23676012461056,706.25
452.2616822429907,706.25
452.28660436137073,706.25
452.31152647975074,731.25
452.33644859813086,750.0
452.3613707165109,750.0
452.386292834891,750.0
452.411214953271,700.0
452.4361370716511,700.0
452.46105919003116,750.0
452.4859813084112,756.25
452.51090342679123,768.75
452.53582554517135,768.75
452.5607476635514,775.0
452.5856697819315,775.0
452.6105919003115,775.0
452.6355140186916,775.0
452.66043613707166,775.0
452.6853582554517,775.0
452.7102803738317,756.25
452.73520249221184,737.5
452.7601246105919,737.5
452.78504672897196,737.5
452.8099688473521,743.75
452.8348909657321,737.5
452.85981308411215,737.5
452.8847352024922,737.5
452.9096573208723,737.5
452.93457943925233,731.25
452.9595015576324,737.5
452.98442367601245,737.5
453.0093457943926,731.25
453.0342679127726,737.5
453.05919003115264,737.5
453.0841121495327,731.25
453.1090342679128,706.25
453.1339563862928,706.25
453.1588785046729,706.25
453.18380062305295,706.25
453.20872274143306,706.25
453.23364485981307,706.25
453.25856697819313,706.25
453.2834890965732,706.25
453.3084112149533,712.5
453.3333333333333,718.75
453.3582554517134,712.5
453.3831775700935,712.5
453.40809968847356,681.25
453.43302180685356,712.5
453.4579439252336,712.5
453.48286604361374,712.5
453.5077881619938,693.75
453.5327102803738,681.25
453.55763239875387,687.5
453.582554517134,687.5
453.60747663551405,687.5
453.63239875389405,687.5
453.6573208722741,681.25
453.68224299065423,687.5
453.7071651090343,712.5
453.7320872274143,712.5
453.75700934579436,712.5
453.7819314641745,712.5
453.80685358255454,712.5
453.83177570093454,712.5
453.8566978193146,712.5
453.8816199376947,718.75
453.9065420560748,743.75
453.9314641744548,743.75
453.9563862928349,750.0
453.98130841121497,743.75
454.00623052959503,743.75
454.03115264797503,750.0
454.05607476635515,743.75
454.0809968847352,756.25
454.1059190031153,781.25
454.1308411214953,781.25
454.1557632398754,781.25
454.18068535825546,781.25
454.2056074766355,781.25
454.2305295950155,781.25
454.25545171339564,781.25
454.2803738317757,800.0
454.30529595015577,825.0
454.33021806853577,825.0
454.3551401869159,825.0
454.38006230529595,787.5
454.404984423676,787.5
454.42990654205613,825.0
454.45482866043614,831.25
454.4797507788162,850.0
454.50467289719626,868.75
454.5295950155764,875.0
454.5545171339564,875.0
454.57943925233644,868.75
454.6043613707165,875.0
454.6292834890966,875.0
454.6542056074766,868.75
454.6791277258567,887.5
454.70404984423675,912.5
454.72897196261687,918.75
454.7538940809969,918.75
454.77881619937693,918.75
454.803738317757,918.75
454.8286604361371,887.5
454.8535825545171,887.5
454.8785046728972,906.25
454.90342679127724,912.5
454.92834890965736,925.0
454.95327102803736,918.75
454.9781931464174,918.75
455.00311526479754,918.75
455.0280373831776,918.75
455.1028037383178,1106.25
455.12772585669785,1100.0
455.15264797507785,1100.0
455.1775700934579,1118.75
455.20249221183803,1112.5
455.2274143302181,1112.5
455.2523364485981,843.75
455.32710280373834,1162.5
455.35202492211835,1162.5
455.4267912772586,1168.75
455.4517133956386,1162.5
455.4766355140187,1193.75
455.55140186915884,1318.75
455.57632398753896,1343.75
455.601246105919,1337.5
455.6261682242991,1337.5
455.6510903426791,1312.5
455.75077881619933,1462.5
455.77570093457945,1456.25
455.8006230529595,1450.0
455.82554517133957,1450.0
455.8504672897196,1462.5
455.8753894080997,1487.5
455.9501557632398,1662.5
455.97507788161994,1700.0
456.0,1700.0
456.02492211838006,1700.0
456.0498442367602,1725.0
456.0747663551402,1806.25
456.09968847352025,1900.0
456.1246105919003,1900.0
456.1495327102804,1900.0
456.17445482866043,1900.0
456.1993769470405,1900.0
456.22429906542055,1900.0
456.24922118380067,1906.25
456.2741433021807,2175.0
456.29906542056074,2193.75
456.3239875389408,2200.0
456.3489096573209,2193.75
456.3738317757009,2150.0
456.398753894081,2200.0
456.42367601246104,2200.0
456.44859813084116,2200.0
456.47352024922117,2287.5
456.4984423676012,2356.25
456.5233644859813,2362.5
456.5482866043614,2362.5
456.5732087227414,2362.5
456.5981308411215,2362.5
456.6230529595016,2362.5
456.64797507788165,2362.5
456.67289719626166,2400.0
456.6978193146417,2631.25
456.72274143302184,2637.5
456.7476635514019,2631.25
456.7725856697819,2631.25
456.79750778816197,2631.25
456.8224299065421,2631.25
456.84735202492215,2650.0
456.87227414330215,2675.0
456.8971962616822,2875.0
456.92211838006233,2875.0
456.9470404984424,2875.0
456.9719626168224,2875.0
456.99688473520246,2875.0
457.0218068535826,2875.0
457.04672897196264,2900.0
457.07165109034264,2981.25
457.09657320872276,3081.25
457.1214953271028,3075.0
457.1464174454829,3081.25
457.1713395638629,3081.25
457.196261682243,3075.0
457.22118380062307,3081.25
457.2461059190031,3075.0
457.27102803738313,3118.75
457.29595015576325,3143.75
457.3208722741433,3150.0
457.3457943925234,3143.75
457.3707165109034,3100.0
457.3956386292835,3150.0
457.42056074766356,3143.75
457.4454828660436,3175.0
457.4704049844236,3300.0
457.49532710280374,3331.25
