Energy,Intensity
451.46417445482865,825.0
451.48909657320877,825.0
451.7383177570093,775.0
452.1370716510903,787.5
453.0093457943926,825.0
453.0342679127726,825.0
453.23364485981307,831.25
453.3831775700935,812.5
453.40809968847356,812.5
453.43302180685356,818.75
453.4579439252336,818.75
453.582554517134,812.5
453.63239875389405,812.5
453.6573208722741,818.75
453.68224299065423,818.75
453.8566978193146,818.75
453.8816199376947,825.0
455.1028037383178,993.75
455.12772585669785,1000.0
455.15264797507785,1006.25
455.1775700934579,1006.25
455.20249221183803,1012.5
455.2274143302181,1018.75
455.2523364485981,1018.75
455.27725856697816,1025.0
455.3021806853583,1031.25
455.32710280373834,1031.25
455.35202492211835,1037.5
455.3769470404984,1043.75
455.4018691588785,1043.75
455.4267912772586,1043.75
455.4517133956386,1050.0
455.4766355140187,1056.25
455.5015576323988,1056.25
455.52647975077883,1062.5
455.55140186915884,1068.75
455.57632398753896,1081.25
455.601246105919,1087.5
455.6261682242991,1106.25
455.6510903426791,1118.75
455.6760124610592,1143.75
455.70093457943926,1156.25
455.7258566978193,1175.0
455.75077881619933,1193.75
455.77570093457945,1206.25
455.8006230529595,1218.75
455.82554517133957,1231.25
455.8504672897196,1250.0
455.8753894080997,1268.75
455.90031152647975,1281.25
455.9252336448598,1293.75
455.9501557632398,1318.75
455.97507788161994,1337.5
456.0,1356.25
456.02492211838006,1375.0
456.0498442367602,1400.0
456.0747663551402,1431.25
456.09968847352025,1456.25
456.1246105919003,1481.25
456.1495327102804,1506.25
456.17445482866043,1531.25
456.1993769470405,1556.25
456.22429906542055,1581.25
456.24922118380067,1612.5
456.2741433021807,1637.5
456.29906542056074,1662.5
456.3239875389408,1687.5
456.3489096573209,1718.75
456.3738317757009,1750.0
456.398753894081,1781.25
456.42367601246104,1812.5
456.44859813084116,1856.25
456.47352024922117,1893.75
456.4984423676012,1931.25
456.5233644859813,1975.0
456.5482866043614,2006.25
456.5732087227414,2050.0
456.5981308411215,2093.75
456.6230529595016,2131.25
456.64797507788165,2181.25
456.67289719626166,2225.0
456.6978193146417,2268.75
456.72274143302184,2318.75
456.7476635514019,2362.5
456.7725856697819,2412.5
456.79750778816197,2468.75
456.8224299065421,2493.75
456.84735202492215,2531.25
456.87227414330215,2587.5
456.8971962616822,2675.0
456.92211838006233,2725.0
456.9470404984424,2750.0
456.9719626168224,2775.0
456.99688473520246,2818.75
457.0218068535826,2981.25
457.04672897196264,2993.75
457.07165109034264,2987.5
457.09657320872276,3000.0
457.1214953271028,3168.75
457.1464174454829,3187.5
457.1713395638629,3193.75
457.196261682243,3206.25
457.22118380062307,3218.75
457.2461059190031,3237.5
457.27102803738313,3256.25
457.29595015576325,3275.0
457.3208722741433,3293.75
457.3457943925234,3306.25
457.3707165109034,3318.75
457.3956386292835,3318.75
457.42056074766356,3312.5
457.4454828660436,3293.75
457.49532710280374,3275.0
457.5202492211838,3262.5
457.54517133956386,3250.0
457.57009345794387,3231.25
457.595015576324,3212.5
457.61993769470405,3193.75
457.6448598130841,3162.5
457.66978193146423,3131.25
457.69470404984423,3100.0
457.7196261682243,3062.5
457.74454828660436,3025.0
457.7694704049845,2987.5
457.7943925233645,2943.75
457.81931464174454,2906.25
457.8442367601246,2850.0
457.8691588785047,2800.0
457.8940809968847,2743.75
457.9190031152648,2693.75
457.94392523364485,2650.0
457.96884735202497,2606.25
457.99376947040497,2568.75
458.01869158878503,2531.25
458.0436137071651,2493.75
458.0685358255452,2456.25
458.0934579439252,2425.0
458.1183800623053,2393.75
458.1433021806854,2368.75
458.16822429906546,2343.75
458.19314641744546,2325.0
458.2180685358255,2312.5
458.24299065420564,2300.0
458.2679127725857,2287.5
458.2928348909657,2281.25
458.31775700934577,2268.75
458.3426791277259,2256.25
458.36760124610595,2262.5
458.39252336448595,2268.75
458.417445482866,2287.5
458.44236760124613,2306.25
458.4672897196262,2318.75
458.4922118380062,2343.75
458.51713395638626,2356.25
458.5420560747664,2387.5
458.56697819314644,2418.75
458.59190031152644,2443.75
458.6168224299065,2487.5
458.6417445482866,2525.0
458.6666666666667,2568.75
458.6915887850467,2612.5
458.7165109034268,2650.0
458.74143302180687,2700.0
458.76635514018693,2756.25
458.79127725856694,2812.5
458.81619937694705,2875.0
458.8411214953271,2950.0
458.8660436137072,3012.5
458.8909657320872,3087.5
458.9158878504673,3156.25
458.94080996884736,3231.25
458.9657320872274,3312.5
458.9906542056074,3393.75
459.01557632398755,3481.25
459.0404984423676,3575.0
459.06542056074767,3662.5
459.0903426791277,3756.25
459.1152647975078,3843.75
459.14018691588785,3931.25
459.1651090342679,3993.75
459.19003115264803,4037.5
459.21495327102804,4112.5
459.2398753894081,4268.75
459.26479750778816,4318.75
459.2897196261683,4387.5
459.3146417445483,4462.5
459.33956386292834,4512.5
459.3644859813084,4587.5
459.3894080996885,4625.0
459.4143302180685,4718.75
459.4392523364486,4806.25
459.46417445482865,4831.25
459.48909657320877,4881.25
459.5140186915888,4931.25
459.53894080996884,4962.5
459.5638629283489,5000.0
459.588785046729,5031.25
459.613707165109,5043.75
459.6386292834891,5068.75
459.66355140186914,5081.25
459.68847352024926,5106.25
459.71339563862927,5118.75
459.7383177570093,5125.0
459.76323987538944,5118.75
459.7881619937695,5100.0
459.8130841121495,5075.0
459.8380062305296,5050.0
459.8629283489097,5018.75
459.88785046728975,4987.5
459.91277258566976,4956.25
459.9376947040498,4906.25
459.96261682242994,4856.25
459.98753894081,4806.25
460.01246105919,4731.25
460.03738317757006,4668.75
460.0623052959502,4600.0
460.08722741433024,4531.25
460.11214953271025,4468.75
460.1370716510903,4406.25
460.1619937694704,4331.25
460.1869158878505,4268.75
460.2118380062305,4187.5
460.23676012461056,4118.75
460.2616822429907,4043.75
460.28660436137073,3968.75
460.31152647975074,3900.0
460.33644859813086,3831.25
460.3613707165109,3756.25
460.386292834891,3687.5
460.411214953271,3625.0
460.4361370716511,3556.25
460.46105919003116,3487.5
460.4859813084112,3418.75
460.51090342679123,3362.5
460.53582554517135,3306.25
460.5607476635514,3250.0
460.5856697819315,3200.0
460.6105919003115,3150.0
460.6355140186916,3100.0
460.66043613707166,3062.5
460.6853582554517,3006.25
460.7102803738317,2975.0
460.73520249221184,2950.0
460.7601246105919,2925.0
460.78504672897196,2900.0
460.80996884735197,2812.5
460.8348909657321,2793.75
460.85981308411215,2800.0
460.8847352024922,2781.25
460.9096573208723,2781.25
461.0342679127726,2737.5
461.05919003115264,2725.0
461.0841121495327,2725.0
461.1090342679128,2731.25
461.1339563862928,2737.5
461.1588785046729,2743.75
461.18380062305295,2743.75
461.20872274143306,2756.25
461.23364485981307,2768.75
461.25856697819313,2781.25
461.2834890965732,2793.75
461.3084112149533,2806.25
461.3333333333333,2825.0
461.3582554517134,2843.75
461.3831775700935,2868.75
461.40809968847356,2900.0
461.43302180685356,2925.0
461.4579439252336,2956.25
461.48286604361374,2987.5
461.5077881619938,3012.5
461.5327102803738,3043.75
461.55763239875387,3068.75
461.582554517134,3093.75
461.60747663551405,3125.0
461.63239875389405,3156.25
461.6573208722741,3181.25
461.68224299065423,3206.25
461.7071651090343,3237.5
461.7320872274143,3275.0
461.75700934579436,3318.75
461.7819314641745,3356.25
461.80685358255454,3400.0
461.83177570093454,3437.5
461.85669781931466,3487.5
461.8816199376947,3537.5
461.9065420560748,3581.25
461.9314641744548,3606.25
461.9563862928349,3631.25
461.98130841121497,3668.75
462.00623052959503,3818.75
462.03115264797503,3843.75
462.05607476635515,3843.75
462.0809968847352,3868.75
462.1059190031153,3968.75
462.1308411214953,4050.0
462.1557632398754,4068.75
462.18068535825546,4081.25
462.2056074766355,4075.0
462.2305295950155,4193.75
462.25545171339564,4212.5
462.2803738317757,4231.25
462.30529595015577,4243.75
462.33021806853577,4268.75
462.3551401869159,4293.75
462.38006230529595,4331.25
462.404984423676,4356.25
462.42990654205613,4375.0
462.45482866043614,4393.75
462.4797507788162,4412.5
